"","OBJECTID","ARRDT","BOIS","TYPE_VOIE","NOM_VOIE","STATUT","TYPOLOGIE","SENS_VELO","TYPOLOGIE_SIMPLE","SHAPE.LEN","geo_shape","geo_point_2d"
"7919",3988,6,"NON","AVENUE DE L","OBSERVATOIRE","VOIE 50","CONTINUITE VELO","CONTRESENS","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.336264283651083, 48.84104625516438], [2.336278591819046, 48.84109289131375], [2.336289068147064, 48.84114053478812], [2.336295643526661, 48.84118887130104]]}","48.8411169964, 2.33628254118"
"7920",4006,6,"NON","RUE","NOTRE DAME DES CHAMPS","ZONE 30","CONTINUITE VELO","CONTRESENS","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.333133746295718, 48.84127429920807], [2.33301157715857, 48.841354476774846]]}","48.841314388, 2.33307266173"
"7921",4009,6,"NON","RUE","NOTRE DAME DES CHAMPS","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3317437999788693, 48.84276792717722], [2.33155148494077, 48.84313669117468], [2.331290874902666, 48.843416633430394], [2.3310540380524643, 48.843647342637276], [2.33100470838755, 48.84369450255971], [2.330909960890027, 48.843768744315675], [2.330713084657613, 48.8439228142697]]}","48.8433873195, 2.33127890371"
"7939",3204,10,"NON","BOULEVARD DE","MAGENTA","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.358561932084822, 48.87331948336166], [2.358603207317552, 48.87327343041684]]}","48.8732964569, 2.3585825697"
"7940",3210,10,"NON","BOULEVARD DE","MAGENTA","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.360440836255461, 48.87156699871902], [2.360343038605267, 48.871676167650314]]}","48.8716215832, 2.36039193743"
"7941",3215,10,"NON","BOULEVARD DE","MAGENTA","VOIE 50","PISTE CYCLABLE SUR TROTTOIR","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.360327957892506, 48.87134894836184], [2.360723115253029, 48.87090800655552]]}","48.8711284775, 2.36052553657"
"7942",3218,10,"NON","BOULEVARD DE","MAGENTA","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.361006219646959, 48.87059350316916], [2.361250715075489, 48.87032067112565]]}","48.8704570871, 2.36112846736"
"7943",3219,10,"NON","BOULEVARD DE","MAGENTA","VOIE 50","CONTINUITE VELO","","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.361210937583929, 48.87036505899555], [2.361347079834921, 48.87055535688388]]}","48.8704602079, 2.36127900871"
"7944",3222,10,"NON","BOULEVARD DE","MAGENTA","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.36248527295078, 48.86894297773062], [2.362533361726166, 48.868889311741064]]}","48.8689161447, 2.36250931734"
"7945",3224,10,"NON","BOULEVARD DE","MAGENTA","VOIE 50","CONTINUITE VELO","","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3627935857442, 48.86860021185528], [2.363151915652089, 48.8687385235687]]}","48.8686693677, 2.3629727507"
"7948",3229,7,"NON","QUAI","BRANLY","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.291150306396133, 48.85740546624116], [2.29127784861306, 48.85747214443889]]}","48.8574388053, 2.2912140775"
"7968",3311,9,"NON","RUE DE","MOGADOR","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3313717347500402, 48.874553035246], [2.331391058432903, 48.874695758698145]]}","48.874624397, 2.33138139659"
"7969",3318,9,"NON","RUE DE LA","CHAUSSEE D ANTIN","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.332273517753531, 48.87521599703317], [2.332495056032312, 48.874708092049595]]}","48.8749620445, 2.33238428689"
"7970",3321,9,"NON","RUE DE LA","CHAUSSEE D ANTIN","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.332644221213281, 48.87436610575351], [2.332707658832435, 48.87422066287972]]}","48.8742933843, 2.33267594002"
"7971",3324,9,"NON","RUE DE","PROVENCE","ZONE 30","CONTINUITE VELO","CONTRESENS","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.331421814542625, 48.874281794203526], [2.331368930012739, 48.87428095972482], [2.331214378764712, 48.87427878349179]]}","48.8742802554, 2.33131809715"
"7972",3328,9,"NON","RUE DE","PROVENCE","ZONE 30","CONTINUITE VELO","CONTRESENS","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.335391011420103, 48.874255748862225], [2.335191311638876, 48.874261566421815]]}","48.8742586576, 2.33529116153"
