"","OBJECTID","ARRDT","BOIS","TYPE_VOIE","NOM_VOIE","STATUT","TYPOLOGIE","SENS_VELO","TYPOLOGIE_SIMPLE","SHAPE.LEN","geo_shape","geo_point_2d"
"1498",1097,8,"NON","COURS LA","REINE","VOIE 50","PISTE CYCLABLE SUR TROTTOIR","CONTRESENS","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.319907735239066, 48.864091012581106], [2.319637838136385, 48.86416101514807], [2.319154129793909, 48.86431715812436], [2.318607823391265, 48.86449234017665]]}","48.8642857599, 2.31925606817"
"1499",1100,7,"NON","PONT DE LA","CONCORDE","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.319250265843944, 48.862720649653646], [2.319670257188998, 48.86329120412634], [2.31976382434689, 48.86341832326388]]}","48.8630694852, 2.31950704685"
"1500",1106,1,"NON","QUAI DES","TUILERIES","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.321359420152123, 48.86364015032799], [2.321533247732682, 48.86358338679758]]}","48.8636117686, 2.32144633394"
"1534",1517,7,"NON","PONT DE L","ALMA","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3019944262611443, 48.86282673686345], [2.301948141612809, 48.86329333208147], [2.301934343461527, 48.863477336366905]]}","48.8631518986, 2.30196280029"
"1549",503,1,"NON","RUE DE","RIVOLI","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.34495148275755, 48.859607315067834], [2.344732480243253, 48.85967886164943]]}","48.8596430884, 2.3448419815"
"1550",507,1,"NON","RUE DE","RIVOLI","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.343310157502819, 48.86014312046582], [2.342520822658359, 48.860396558638456]]}","48.8602698396, 2.34291549008"
"1551",508,1,"NON","RUE DE","RIVOLI","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.341931208104681, 48.860587042321036], [2.341301865063615, 48.860791537240935]]}","48.8606892898, 2.34161653658"
"1552",521,1,"NON","RUE DE","RIVOLI","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.335001177363862, 48.86286718032326], [2.334330853418772, 48.86308564354515]]}","48.8629764119, 2.33466601539"
"1553",533,1,"NON","RUE DE","RIVOLI","VOIE 50","PISTE CYCLABLE AVEC STATIONNEMENT RECONSTITUE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.327973905943289, 48.86515894203747], [2.327656178904806, 48.8652615312887]]}","48.8652102367, 2.32781504242"
"1554",537,1,"NON","RUE DE","RIVOLI","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3262540474872733, 48.86571621166281], [2.326115645975383, 48.86576050292988]]}","48.8657383573, 2.32618484673"
"1555",542,1,"NON","RUE DE","RIVOLI","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.324446287141613, 48.86630221663304], [2.324253727270023, 48.86636359564708]]}","48.8663329061, 2.32435000721"
"1556",547,1,"NON","RUE DE","RIVOLI","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323702156536489, 48.8664751330816], [2.323546352999155, 48.8664585574437]]}","48.8664668453, 2.32362425477"
"1562",575,8,"NON","RUE","ROYALE","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323674297082166, 48.86917877902301], [2.323223629914155, 48.868563252402474]]}","48.8688710157, 2.3234489635"
"1563",578,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.324313803860843, 48.869332331958724], [2.324724422381239, 48.8694096415977], [2.324738161023106, 48.8694129268026], [2.324751182073307, 48.86941840358116], [2.324763138513295, 48.86942592597403], [2.324773711697004, 48.86943529350507], [2.324782619842949, 48.86944625652416], [2.324813214918103, 48.86949057781587]]}","48.8693875795, 2.32457764412"
"1564",579,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3251196935030842, 48.86961023771905], [2.325110913962022, 48.86961684824134], [2.325103203273115, 48.8696246792453], [2.325096729467499, 48.869633560077865], [2.325091633622177, 48.86964329720818], [2.32508802678568, 48.86965367844494], [2.3250859875580963, 48.86966447756051]]}","48.8696349035, 2.32509889127"
"1565",589,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.324090171508975, 48.87071993844778], [2.323922607355609, 48.87049220105239]]}","48.8706060698, 2.32400638943"
"1566",594,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323430046392713, 48.86959428819619], [2.323546686725268, 48.86943673785004]]}","48.869515513, 2.32348836656"
"1567",599,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.324001891087004, 48.869115995896145], [2.324027952325474, 48.86913280621518], [2.324056227532682, 48.86914554543156], [2.324086085349733, 48.869153929090515], [2.324116859079541, 48.869157769992796]]}","48.8691422909, 2.32405741007"
"1568",605,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.322697295980764, 48.87104712700952], [2.322473155285018, 48.8713633658575], [2.322293821885749, 48.871617807923286]]}","48.8713323359, 2.32249537278"
"1569",609,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.322049621953381, 48.87157510512221], [2.321921861353743, 48.87175141115088]]}","48.8716632581, 2.32198574165"
"1570",610,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.322293821885749, 48.871617807923286], [2.322123593906685, 48.8718578892184]]}","48.8717378486, 2.3222087079"
"1571",1236,6,"NON","BOULEVARD","RASPAIL","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.328122640978452, 48.84749813773515], [2.327992651945503, 48.84796493986831]]}","48.8477315388, 2.32805764646"
"1603",619,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.32106183363093, 48.87337890511277], [2.32112524838494, 48.87328765364513], [2.321179885761379, 48.873177911157406], [2.3212947108865, 48.87301687453607]]}","48.8731966057, 2.32117620381"
"1604",625,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.32070351332053, 48.873885849283035], [2.320326822634276, 48.87447311524664]]}","48.8741794823, 2.32051516798"
"1605",628,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.319977749803776, 48.87451931776082], [2.3200677557675142, 48.87438845127704], [2.320160069504835, 48.87425920235447]]}","48.8743888557, 2.32006833271"
"1606",629,8,"NON","PLACE","SAINT AUGUSTIN","VOIE 50","CONTINUITE VELO","","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.319510824239023, 48.87497138817534], [2.319988148752524, 48.87499812611553]]}","48.8749847571, 2.3197494865"
"1607",631,8,"NON","RUE DE LA","PEPINIERE","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.320615572380837, 48.87491976982421], [2.32158503698242, 48.875018068801175], [2.322807438016376, 48.875089950841165]]}","48.8750163031, 2.32171058905"
"1692",1781,7,"NON","PONT DU","CARROUSSEL","VOIE 50","PISTE CYCLABLE SUR TERRE-PLEIN CENTRAL","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.332477818523703, 48.85864057872865], [2.332386143564441, 48.85866355939841]]}","48.8586520691, 2.33243198104"
"1693",1785,6,"NON","QUAI","VOLTAIRE","VOIE 50","PISTE CYCLABLE SUR TROTTOIR","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.332765037270745, 48.858620254597945], [2.3329152900967, 48.85856392820865], [2.333356186282531, 48.858448276199596]]}","48.8585284918, 2.3330587776"
"1694",1794,5,"NON","QUAI DE","MONTEBELLO","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.347584770907499, 48.852743592180495], [2.347795817382182, 48.85263777588294], [2.348213236429382, 48.85242950805043]]}","48.8525864129, 2.34789893505"
"1695",1795,5,"NON","QUAI DE","MONTEBELLO","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.346971393977734, 48.85305112777399], [2.347174521267994, 48.85294928435154]]}","48.8530002061, 2.34707295762"
"1696",1797,5,"NON","QUAI DE","MONTEBELLO","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.348213236429382, 48.85242950805043], [2.348432238256676, 48.852332663454]]}","48.8523810858, 2.34832273734"
"1700",613,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.321251231536973, 48.87271895652979], [2.321052802316653, 48.87299813758842]]}","48.8728585471, 2.32115201693"
"1701",1157,7,"NON","RUE DE","CONSTANTINE","VOIE 50","PISTE CYCLABLE AVEC STATIONNEMENT RECONSTITUE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.314694461612406, 48.85817524573125], [2.31471208371974, 48.858331838811715]]}","48.8582535423, 2.31470327267"
"1702",1159,7,"NON","RUE DE","CONSTANTINE","VOIE 50","PISTE CYCLABLE AVEC STATIONNEMENT RECONSTITUE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.314722773179125, 48.85841696422147], [2.314744177823599, 48.8585852671309]]}","48.8585011157, 2.3147334755"
"1703",1160,7,"NON","RUE DE","CONSTANTINE","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.314744177823599, 48.8585852671309], [2.314750348638574, 48.85863984743541]]}","48.8586125573, 2.31474726323"
"1704",1167,7,"NON","RUE DE","CONSTANTINE","VOIE 50","PISTE CYCLABLE AVEC STATIONNEMENT RECONSTITUE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.314850605414642, 48.859472231920456], [2.314899442502496, 48.8598744555995]]}","48.8596733438, 2.31487502396"
"1705",1168,7,"NON","RUE DE","CONSTANTINE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.314899442502496, 48.8598744555995], [2.314917964471324, 48.86003754699469]]}","48.8599560013, 2.31490870349"
"1706",1170,7,"NON","RUE DE","CONSTANTINE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.315014597679887, 48.86084653315205], [2.315048575871236, 48.86110659488463]]}","48.860976564, 2.31503158678"
"1707",1177,7,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.320234694861884, 48.86147771990447], [2.3205440604561263, 48.86114961057968]]}","48.8613136652, 2.32038937766"
"1708",1180,7,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.321780077467111, 48.85983936411045], [2.322490777148278, 48.85908495628136]]}","48.8594621602, 2.32213542731"
"1709",1189,6,"NON","BOULEVARD","RASPAIL","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.326799221301544, 48.851168873219855], [2.327086479602691, 48.85018270000144]]}","48.8506757866, 2.32694285045"
"1710",1191,6,"NON","BOULEVARD","RASPAIL","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.327794809517339, 48.84771941302307], [2.32785860335247, 48.847502888415285]]}","48.8476111507, 2.32782670643"
"1716",1231,6,"NON","BOULEVARD","RASPAIL","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.328638118488252, 48.84570947235575], [2.328580433560231, 48.84591044755038], [2.328464033397589, 48.84631589846786], [2.328375910139605, 48.84662650784749]]}","48.8461678999, 2.3285066982"
"1717",1232,6,"NON","BOULEVARD","RASPAIL","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.328375910139605, 48.84662650784749], [2.328321258276281, 48.8468210062822]]}","48.8467237571, 2.32834858421"
"1760",1780,6,"NON","PONT DU","CARROUSSEL","VOIE 50","PISTE CYCLABLE SUR TERRE-PLEIN CENTRAL","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.332530452934606, 48.85862732909182], [2.332627069129654, 48.858613183753825]]}","48.8586202564, 2.33257876103"
"1761",1782,6,"NON","QUAI","MALAQUAIS","VOIE 50","PISTE CYCLABLE SUR TROTTOIR","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.333356186282531, 48.858448276199596], [2.333692851340801, 48.85835996373539], [2.334029607222091, 48.85827061073186], [2.334785719833571, 48.8580727843402], [2.334844778201886, 48.85805745123499]]}","48.8582525403, 2.33410039732"
"1762",1789,6,"NON","QUAI DE","CONTI","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.340165021971676, 48.8563470024525], [2.340608135536713, 48.85602838612464]]}","48.8561876943, 2.34038657875"
"1763",1791,5,"NON","QUAI","SAINT MICHEL","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3452534375217002, 48.85356808176285], [2.345711336721267, 48.8534439128445], [2.346649461941227, 48.85318928769719]]}","48.8533787203, 2.34595145938"
"1764",1793,5,"NON","QUAI","SAINT MICHEL","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.345009604196473, 48.853634201292635], [2.3452534375217002, 48.85356808176285]]}","48.8536011415, 2.34513152086"
"1770",611,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.321921861353743, 48.87175141115088], [2.321621144490727, 48.87217947664199]]}","48.8719654439, 2.32177150292"
"1771",617,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.320643020514768, 48.87355119027722], [2.320735710800436, 48.87341418063171]]}","48.8734826855, 2.32068936566"
"1772",621,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.321548279947533, 48.87265841097867], [2.321657600964214, 48.87250436230839], [2.321728834872597, 48.87243576013372], [2.321755504127876, 48.8723960544284]]}","48.872525, 2.32164938397"
"1773",630,8,"NON","PLACE","SAINT AUGUSTIN","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3205658758094962, 48.87489664449856], [2.320549705720974, 48.87489659027261], [2.320533775065758, 48.87489381738105], [2.3205185376507442, 48.87488840481355], [2.3205044275349183, 48.87488050675463], [2.320491846664577, 48.87487034819151], [2.320481153423332, 48.874858218505], [2.3204726524230512, 48.8748444632261], [2.320466585826563, 48.8748294741931], [2.320463126449319, 48.874813678389465], [2.320462372836495, 48.87479752578067], [2.320464346455803, 48.87478147649626], [2.320468991085949, 48.874765987722455], [2.320476174418174, 48.874751500678535], [2.320485691825258, 48.87473842804813]]}","48.8748349663, 2.32049139138"
"1774",637,8,"NON","RUE LA","BOETIE","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.318478251891672, 48.87440314101724], [2.317633902975865, 48.8742555603209]]}","48.8743293507, 2.31805607743"
"1775",638,8,"NON","RUE LA","BOETIE","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.31732938169776, 48.8742052820427], [2.316024572390762, 48.87398296388759]]}","48.874094123, 2.31667697704"
"1776",642,8,"NON","AVENUE","FRANKLIN DELANO ROOSEVELT","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.310005062920692, 48.87245681969627], [2.310004286886401, 48.87145342098606]]}","48.8719551203, 2.3100046749"
"1801",2972,8,"NON","COURS","LA REINE","VOIE 50","CONTINUITE VELO","CONTRESENS","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.31346150073482, 48.86458766280848], [2.313793789269929, 48.86457420346975]]}","48.8645809331, 2.313627645"
"1802",2974,9,"NON","RUE","NOTRE DAME DE LORETTE","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.336735575586193, 48.87911821192843], [2.335448023940354, 48.88018721036717]]}","48.8796527111, 2.33609179976"
"1803",2977,10,"NON","BOULEVARD DE","MAGENTA","VOIE 50","PISTE CYCLABLE SUR TROTTOIR","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.352343410134371, 48.88025781486061], [2.353227554403015, 48.879273249849604]]}","48.8797655324, 2.35278548227"
"1804",2987,9,"NON","RUE DE","CLICHY","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.329121263164242, 48.879961033396214], [2.328309610281416, 48.88170430856708]]}","48.880832671, 2.32871543672"
"1805",2991,9,"NON","RUE","SAINT LAZARE","VOIE 50","COULOIR BUS MARQUE","CONTRESENS","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.330957136801372, 48.87617925708534], [2.330152426931499, 48.87602814025673], [2.32697205220074, 48.87562660741022]]}","48.875883593, 2.32896762839"
"1806",2995,9,"NON","RUE","BLANCHE","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.331583895356464, 48.88147214256056], [2.331384751781803, 48.88042646028544], [2.331381401051943, 48.8802285943749]]}","48.8808518296, 2.33146845166"
"1807",3000,9,"NON","RUE","LAFAYETTE","VOIE 30","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.3468204757942512, 48.87658805336698], [2.347167146437315, 48.87667538946313]]}","48.8766317214, 2.34699381112"
"1808",3003,9,"NON","BOULEVARD DE","CLICHY","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.329275434287836, 48.884373602028845], [2.329303884308292, 48.88435338816244], [2.329354767969946, 48.88437955678859], [2.329408242569825, 48.884399913880365], [2.329463646819778, 48.88441420769389], [2.329520295568836, 48.88442226146617], [2.3295774882760583, 48.884423975601074], [2.3296345176737008, 48.88441932890092], [2.329690678513573, 48.88440837882865], [2.329761453211009, 48.884392713529415], [2.329786029091145, 48.884398720198334]]}","48.8844017878, 2.32952525753"
"1809",3013,9,"NON","PLACE DE","CLICHY","VOIE 30","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3277858093409343, 48.88351399627442], [2.327755953608663, 48.883520967101774], [2.327719703377964, 48.883604045573236]]}","48.8835511264, 2.32774618257"
"1810",3015,9,"NON","BOULEVARD DE","CLICHY","VOIE 50","CONTINUITE MIXTE","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.332594750342937, 48.883708540262944], [2.332864970543464, 48.88363329728098]]}","48.8836709188, 2.33272986044"
"1811",3023,9,"NON","BOULEVARD DE","CLICHY","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.339402229847714, 48.88201566573303], [2.3395709404042773, 48.8819907383543], [2.339625630767116, 48.88198437028958]]}","48.8819993831, 2.33951384646"
"1812",3028,9,"NON","BOULEVARD DE","ROCHECHOUART","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.344361997172317, 48.8828411185846], [2.344557318313661, 48.88287989498638]]}","48.8828605068, 2.34445965774"
"1813",3035,9,"NON","BOULEVARD DE","MAGENTA","VOIE 50","CONTINUITE MIXTE","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.349359003728864, 48.883646994858665], [2.349379011917658, 48.88356597718079]]}","48.883606486, 2.34936900782"
"1814",3042,10,"NON","BOULEVARD DE","MAGENTA","VOIE 50","PISTE CYCLABLE SUR TROTTOIR","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.349607093085677, 48.88330463885992], [2.349732875271738, 48.88316459275817]]}","48.8832346158, 2.34966998418"
"1815",3047,10,"NON","BOULEVARD DE","MAGENTA","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.351959365037232, 48.880685465737734], [2.352027173411901, 48.88060995878289]]}","48.8806477123, 2.35199326922"
"1816",3048,10,"NON","BOULEVARD DE","MAGENTA","VOIE 50","PISTE CYCLABLE SUR TROTTOIR","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.352027173411901, 48.88060995878289], [2.352122224608475, 48.88050411556803]]}","48.8805570372, 2.35207469901"
"1817",3053,10,"NON","BOULEVARD DE","MAGENTA","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.353227554403015, 48.879273249849604], [2.353273571086026, 48.87922200538873]]}","48.8792476276, 2.35325056274"
"1818",3065,9,"NON","RUE DE","MAUBEUGE","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.345347263494629, 48.87845876060831], [2.344938747354353, 48.87832831895172]]}","48.8783935398, 2.34514300542"
"1819",3069,9,"NON","RUE DE","MAUBEUGE","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.341368406248788, 48.876613716368254], [2.341059011535957, 48.87646514866392]]}","48.8765394325, 2.34121370889"
"1820",3071,9,"NON","PLACE","KOSSUTH","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.340289635193857, 48.87609569595983], [2.340239747015662, 48.87607313122321], [2.340188063769944, 48.87605505251267], [2.34013498793637, 48.876041600614926], [2.340080932839289, 48.87603288028568]]}","48.8760585181, 2.34018702068"
"1821",3073,9,"NON","RUE DE","CHATEAUDUN","VOIE 50","CONTINUITE VELO","CONTRESENS","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3421677180541662, 48.87580701838047], [2.341906784563221, 48.87582279144031]]}","48.8758149049, 2.34203725131"
